Timestamp (IST),Vel_X,Vel_Y,Vel_Z
2024-06-17 16:37:15,0.0,0.0,0.0
2024-06-17 16:37:15,-0.0,-0.0,0.0
2024-06-17 16:37:15,-0.0,-0.0,0.0
2024-06-17 16:37:15,-0.0,-0.0,0.0
2024-06-17 16:37:15,0.0,0.0,0.0
2024-06-17 16:37:15,0.0,0.0,0.0
2024-06-17 16:37:15,0.0,0.0,0.0
2024-06-17 16:37:15,0.0,0.0,0.0
2024-06-17 16:37:15,0.0,0.0,0.0
2024-06-17 16:37:15,0.0,0.0,0.0
2024-06-17 16:37:15,0.0,0.0,0.0
2024-06-17 16:37:15,0.0,0.0,0.0
2024-06-17 16:37:15,0.0,0.0,0.0
2024-06-17 16:37:15,0.0,0.0,0.0
2024-06-17 16:37:15,0.0,0.0,0.0
2024-06-17 16:37:15,0.0,0.0,0.0
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:16,-0.06276272879446111,-0.2922304330327179,0.1742692891119863
2024-06-17 16:37:17,-0.05026085961679089,-0.2915954037478492,0.21035624139219938
2024-06-17 16:37:17,-0.05026085961679089,-0.2915954037478492,0.21035624139219938
2024-06-17 16:37:17,-0.05026085961679089,-0.2915954037478492,0.21035624139219938
2024-06-17 16:37:17,-0.05026085961679089,-0.2915954037478492,0.21035624139219938
2024-06-17 16:37:17,-0.05026085961679089,-0.2915954037478492,0.21035624139219938
2024-06-17 16:37:17,-0.05026085961679089,-0.2915954037478492,0.21035624139219938
2024-06-17 16:37:17,-0.05026085961679089,-0.2915954037478492,0.21035624139219938
2024-06-17 16:37:17,-0.05026085961679089,-0.2915954037478492,0.21035624139219938
2024-06-17 16:37:17,-0.05026085961679089,-0.2915954037478492,0.21035624139219938
2024-06-17 16:37:17,-0.05026085961679089,-0.2915954037478492,0.21035624139219938
2024-06-17 16:37:17,-0.05026085961679089,-0.2915954037478492,0.21035624139219938
2024-06-17 16:37:17,-0.05026085961679089,-0.2915954037478492,0.21035624139219938
2024-06-17 16:37:17,-0.05026085961679089,-0.2915954037478492,0.21035624139219938
2024-06-17 16:37:17,-0.05026085961679089,-0.2915954037478492,0.21035624139219938
2024-06-17 16:37:17,-0.05026085961679089,-0.2915954037478492,0.21035624139219938
2024-06-17 16:37:17,-0.05026085961679089,-0.2915954037478492,0.21035624139219938
2024-06-17 16:37:17,-0.05026085961679089,-0.2915954037478492,0.21035624139219938
2024-06-17 16:37:17,-0.05026085961679089,-0.2915954037478492,0.21035624139219938
2024-06-17 16:37:17,-0.05026085961679089,-0.2915954037478492,0.21035624139219938
2024-06-17 16:37:17,-0.05026085961679089,-0.2915954037478492,0.21035624139219938
2024-06-17 16:37:17,-0.05026085961679089,-0.2915954037478492,0.21035624139219938
2024-06-17 16:37:17,-0.05026085961679089,-0.2915954037478492,0.21035624139219938
2024-06-17 16:37:17,-0.05026085961679089,-0.2915954037478492,0.21035624139219938
2024-06-17 16:37:17,-0.05026085961679089,-0.2915954037478492,0.21035624139219938
2024-06-17 16:37:17,-0.05026085961679089,-0.2915954037478492,0.21035624139219938
2024-06-17 16:37:17,-0.05026085961679089,-0.2915954037478492,0.21035624139219938
